DATE;URL;NOM;ALIAS;NB_ABO
2022-09-08;https://twitter.com/BanquePopulaire;BANQUE POPULAIRE - National;@BanquePopulaire;30100
2022-09-08;https://twitter.com/PramexBPCE;GROUPE BPCE - Pramex International;@PramexBPCE;532
2022-09-08;https://twitter.com/89C3;GROUPE BPCE - 89C3;@89C3;
2022-09-08;https://twitter.com/banquepalatine;GROUPE BPCE - Banque Palatine;@BanquePalatine;2730
2022-09-08;https://twitter.com/Entrepreneurs;CAISSE D EPARGNE - Horizon Entrepreneurs;@Entrepreneurs;19700
2022-09-08;https://twitter.com/Caisse_Epargne;CAISSE D EPARGNE - National;@Caisse_Epargne;31800
2022-09-09;https://twitter.com/BanquePopAura;BANQUE POPULAIRE - Auvergne Rhône Alpes (AURA);@BanquePopAura;1178
2022-09-09;https://twitter.com/CaissEpargneMP;CAISSE D EPARGNE - Midi-Pyrénées;@CaissEpargneMP;1000
2022-09-09;https://twitter.com/CaissEpargneAL;CAISSE D EPARGNE - d'Auvergne et du Limousin;@CaissEpargneAL;1470
2022-09-09;https://twitter.com/nrjbanquepop;BANQUE POPULAIRE - Carte NRJ Banque Pop';@nrjbanquepop;
2022-09-09;https://twitter.com/CaissEpargneLDA;CAISSE D EPARGNE - Loire Drome Ardèche;@CaissEpargneLDA;1210
2022-09-09;https://twitter.com/CaissepargneLR;CAISSE D EPARGNE - Languedoc-Roussillon;@CaissepargneLR;2767
2022-09-26;https://twitter.com/bpgrandouest;BANQUE POPULAIRE - Grand Ouest;@bpgrandouest;4234
2022-09-26;https://twitter.com/CE_CotedAzur;CAISSE D EPARGNE - Côte d'Azur;@CE_CotedAzur;2769
2022-09-26;https://twitter.com/CaissEpargneGEE;CAISSE D EPARGNE - Grand Est Europe;@CaissEpargneGEE;2565
2022-09-26;https://twitter.com/CE_iledefrance;CAISSE D EPARGNE - Ile-de-France;@CE_iledefrance;2203
2022-09-26;https://twitter.com/CaissepargneLR;CAISSE D EPARGNE - Languedoc-Roussillon;@CaissepargneLR;2771
2022-09-27;https://twitter.com/banquepalatine;GROUPE BPCE - Banque Palatine;@BanquePalatine;2737
2022-09-27;https://twitter.com/VotreCoach;GROUPE BPCE - Votre Coach;@VotreCoach;992
2022-09-27;https://twitter.com/EspritBasket;CAISSE D EPARGNE - Esprit Basket;@EspritBasket;25300
2022-09-28;https://twitter.com/bpgrandouest;BANQUE POPULAIRE - Grand Ouest;@bpgrandouest;4235
2022-09-28;https://twitter.com/BPValdeFrance;BANQUE POPULAIRE - Val de France;@BPValdeFrance;2115
2022-09-28;https://twitter.com/EspritHandball;CAISSE D EPARGNE - Esprit Hand;@EspritHandball;36600
2022-09-28;https://twitter.com/BanquePopSud;BANQUE POPULAIRE - du Sud;@BanquePopSud;651
2022-09-28;https://twitter.com/nrjbanquepop;BANQUE POPULAIRE - Carte NRJ Banque Pop';@nrjbanquepop;
2022-09-28;https://twitter.com/BPMed;BANQUE POPULAIRE - Méditerranée (MED);@BPMed;5105
2022-09-29;https://twitter.com/Decideursregion;CAISSE D EPARGNE - Décideurs en Région;@Decideursregion;
2022-09-29;https://twitter.com/bpcerecrutement;GROUPE BPCE - Recrutement;@BPCErecrutement;5144
2022-09-29;https://twitter.com/CaissEpargneLDA;CAISSE D EPARGNE - Loire Drome Ardèche;@CaissEpargneLDA;1212
2022-10-01;https://twitter.com/BanquePopulaire;BANQUE POPULAIRE - National;@BanquePopulaire;30100
2022-10-01;https://twitter.com/CaissEpargneBFC;BANQUE POPULAIRE - Bourgogne Franche-Comté;@CaissEpargneBFC;798
2022-10-01;https://twitter.com/CE_CotedAzur;CAISSE D EPARGNE - Côte d'Azur;@CE_CotedAzur;2775
2022-10-01;https://twitter.com/Decideursregion;CAISSE D EPARGNE - Décideurs en Région;@Decideursregion;
2022-10-01;https://twitter.com/89C3;GROUPE BPCE - 89C3;@89C3;
2022-10-01;https://twitter.com/banquepalatine;GROUPE BPCE - Banque Palatine;@BanquePalatine;2736
2022-10-01;https://twitter.com/EspritGlisse;CAISSE D EPARGNE - Esprit Glisse;@EspritGlisse;13600
2022-10-03;https://twitter.com/ce_cepac;CAISSE D EPARGNE - Provence-Alpes-Corse (CEPAC);;
2022-10-03;https://twitter.com/BPALC;BANQUE POPULAIRE - Alsace Lorraine Champagne;;
2022-10-03;https://twitter.com/CE_RhoneAlpes;CAISSE D EPARGNE - Rhône Alpes;;
2022-11-01;https://twitter.com/VoileBanquePop;BANQUE POPULAIRE - Voile Banque Populaire;;
2022-11-01;https://twitter.com/Decideursregion;CAISSE D EPARGNE - Décideurs en Région;;
2022-11-01;https://twitter.com/CE_Normandie;CAISSE D EPARGNE - Normandie;;
2022-11-01;https://twitter.com/EspritGlisse;CAISSE D EPARGNE - Esprit Glisse;;
2023-01-01;https://twitter.com/BP_RivesParis;BANQUE POPULAIRE - Rives de Paris;@BP_RivesParis;4889
2023-01-01;https://twitter.com/BanquePopAura;BANQUE POPULAIRE - Auvergne Rhône Alpes (AURA);@BanquePopAura;1178
2023-01-01;https://twitter.com/ce_cepac;CAISSE D EPARGNE - Provence-Alpes-Corse (CEPAC);@CE_CEPAC;6188
2023-01-01;https://twitter.com/CE_CotedAzur;CAISSE D EPARGNE - Côte d'Azur;@CE_CotedAzur;2768
2023-01-01;https://twitter.com/creditfoncierrp;GROUPE BPCE - Crédit Foncier;;
2023-01-01;https://twitter.com/BPValdeFrance;BANQUE POPULAIRE - Val de France;;
2023-01-01;https://twitter.com/BPALC;BANQUE POPULAIRE - Alsace Lorraine Champagne;@BPALC;5435
2023-01-01;https://twitter.com/CaissepargneLR;CAISSE D EPARGNE - Languedoc-Roussillon;@CaissepargneLR;2764
2021-11-01;https://twitter.com/BanquePopulaire;BANQUE POPULAIRE - National;;
2021-11-01;https://twitter.com/ce_cepac;CAISSE D EPARGNE - Provence-Alpes-Corse (CEPAC);@CE_CEPAC;4206
2021-11-01;https://twitter.com/CaissEpargneMP;CAISSE D EPARGNE - Midi-Pyrénées;@CaissEpargneMP;975
2021-11-01;https://twitter.com/BRED_BP;BANQUE POPULAIRE - BRED;@BRED_BP;1779
2021-11-01;https://twitter.com/BP_ACA;BANQUE POPULAIRE - Aquitaine Centre Atlantique;@BP_ACA;537
2022-01-03;https://twitter.com/BanquePopulaire;BANQUE POPULAIRE - National;@BanquePopulaire;30100
2022-01-03;https://twitter.com/BanquePopAura;BANQUE POPULAIRE - Auvergne Rhône Alpes (AURA);@BanquePopAura;1146
2022-01-03;https://twitter.com/CE_Normandie;CAISSE D EPARGNE - Normandie;@CE_Normandie;2363
2022-01-03;https://twitter.com/credit_coop_;GROUPE BPCE - Crédit Coopératif;@credit_coop_;10600
2022-01-03;https://twitter.com/CE_RhoneAlpes;CAISSE D EPARGNE - Rhône Alpes;@CE_RhoneAlpes;3250
2022-12-21;https://twitter.com/CE_CotedAzur;CAISSE D EPARGNE - Côte d'Azur;@CE_CotedAzur;2762
2022-12-21;https://twitter.com/CEHDF;CAISSE D EPARGNE - Hauts-de-France;@CEHDF;2601
2022-12-21;https://twitter.com/Casden_BP;GROUPE BPCE - CASDEN;@Casden_BP;3149
2022-12-21;https://twitter.com/Caisse_Epargne;CAISSE D EPARGNE - National;@Caisse_Epargne;31800
2022-12-21;https://twitter.com/groupeBPCE;GROUPE BPCE - Corporate;@GroupeBPCE;22600
